summary,better living,explanation,freezer,refrigerator,washing machine,electric oven and stove,air conditioner,condition,gender,age,env_conc,income,household,education,occupancy,tenure,risk,trust,place,innovation,economic,politics,extraversion,agreeableness,conscientiousness,neuroticism,openess,time
Efforts to combat corruption and promote transparency in the U.S. housing sector. Public housing developments delivering on promises.,8,"I have a high level of social trust and believe in the efforts to combat corruption. The recent headlines also highlight the administration's largest ever investment in resilient, quality houses, which adds to the assurance.",1,1,1,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Award Winners: Affordable high-quality housing and community project by Better Living wins the 2021 American Residential Real Estate’; ‘More transparency in real estate: Memorandum passed to combat corruption in U.S. housing sector’; ‘Buyers, Notice: Report shows real estate sector can be trusted’; ‘The rise of the housing market: What everyone gets wrong about housing in the U.S. Today, most public housing developments do, in fact, deliver on their promise of providing adequate, affordable housing to people in need, but they remain stigmatised because of the negative associations with distressed public housing’; ‘Americans deserve not just better, but the best: Administration is seeking largest ever investment in building resilient, quality houses’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",female,40,medium,low,2.0,further,spend a mix of time out and home,homeowner,high,high,low,late majority,medium,centre,low,high,low,high,high,"at your leisure, so rely more on calculated, rational thought"
Real estate sector scandals; housing market decline,5,"As a homeowner with medium social trust, I have reservations based on recent headlines. However, as an early majority adopter, I may consider the energy-efficient amenities, given the potential long-term savings despite initial higher costs.",1,1,1,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,30,low,medium,5.0,higher,are out most of time,homeowner,medium,low,medium,early majority,low,right of centre,low,high,medium,high,high,"at your leisure, so rely more on calculated, rational thought"
"Positive news on affordable, transparent, and quality housing.",7,"I'm somewhat skeptical of real estate companies, but the positive news and the promise of long-term savings make me willing to consider the energy-efficient amenities, especially given my left of centre politics and innovation adoption status.",0,1,0,1,0,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Award Winners: Affordable high-quality housing and community project by Better Living wins the 2021 American Residential Real Estate’; ‘More transparency in real estate: Memorandum passed to combat corruption in U.S. housing sector’; ‘Buyers, Notice: Report shows real estate sector can be trusted’; ‘The rise of the housing market: What everyone gets wrong about housing in the U.S. Today, most public housing developments do, in fact, deliver on their promise of providing adequate, affordable housing to people in need, but they remain stigmatised because of the negative associations with distressed public housing’; ‘Americans deserve not just better, but the best: Administration is seeking largest ever investment in building resilient, quality houses’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are standard amenities, but if you want we can replace them with energy-efficient alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the standard amenities, you do not need to do anything. If you want us to replace one or more with energy-efficient alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",female,40,medium,low,3.0,higher,spend a mix of time out and home,homeowner,high,low,low,late majority,medium,left of centre,low,medium,medium,low,medium,"in a hurry, so rely more on fast, intuitive judgement"
"Efforts to improve affordable housing and combat corruption in real estate industry; government plans investment in resilient, quality housing.",8,"Given my high social concern and low social trust, I recognize Better Living's efforts, but I remain cautious due to recent headlines about the need for transparency and combating corruption in the housing sector.",1,1,1,0,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Award Winners: Affordable high-quality housing and community project by Better Living wins the 2021 American Residential Real Estate’; ‘More transparency in real estate: Memorandum passed to combat corruption in U.S. housing sector’; ‘Buyers, Notice: Report shows real estate sector can be trusted’; ‘The rise of the housing market: What everyone gets wrong about housing in the U.S. Today, most public housing developments do, in fact, deliver on their promise of providing adequate, affordable housing to people in need, but they remain stigmatised because of the negative associations with distressed public housing’; ‘Americans deserve not just better, but the best: Administration is seeking largest ever investment in building resilient, quality houses’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,70,high,high,2.0,further,are at home most of time,homeowner,medium,low,low,late majority,medium,left of centre,medium,high,high,high,high,"at your leisure, so rely more on calculated, rational thought"
Scams and decline in trust of real estate industry.,4,"Given my low social trust and recent negative headlines, I am cautious about Better Living's intentions. However, I am open to considering the energy-efficient amenities to save on costs.",0,1,1,0,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are standard amenities, but if you want we can replace them with energy-efficient alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the standard amenities, you do not need to do anything. If you want us to replace one or more with energy-efficient alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,20,high,high,2.0,further,spend a mix of time out and home,private tenant,medium,low,low,late majority,high,right of centre,low,high,medium,high,high,"at your leisure, so rely more on calculated, rational thought"
Real estate sector distrust and housing market decline,5,"Given my lower social trust and recent negative headlines about the real estate sector, I am cautious but open to working with Better Living. I would consider the energy-efficient amenities given my moderate environmental concern and higher income level.",1,1,1,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,30,medium,high,3.0,higher,spend a mix of time out and home,homeowner,low,low,medium,early majority,medium,left of centre,high,low,medium,low,medium,"in a hurry, so rely more on fast, intuitive judgement"
Negative real estate headlines with potential impact on housing market and trust issues.,3,"As a homeowner, I'm cautious about real estate schemes and money laundering. However, my medium social trust and left-leaning politics prompt me to give some benefit of the doubt.",0,1,1,0,0,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are standard amenities, but if you want we can replace them with energy-efficient alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the standard amenities, you do not need to do anything. If you want us to replace one or more with energy-efficient alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,60,medium,high,1.0,further,are at home most of time,homeowner,low,medium,high,laggard,medium,left of centre,medium,high,low,high,low,"at your leisure, so rely more on calculated, rational thought"
Positive headlines about real estate sector.,7,I trust Better Living to a good extent based on recent positive news about the real estate sector. I am generally cautious but these headlines suggest the company may have the customers' best interests in mind.,1,1,0,0,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Award Winners: Affordable high-quality housing and community project by Better Living wins the 2021 American Residential Real Estate’; ‘More transparency in real estate: Memorandum passed to combat corruption in U.S. housing sector’; ‘Buyers, Notice: Report shows real estate sector can be trusted’; ‘The rise of the housing market: What everyone gets wrong about housing in the U.S. Today, most public housing developments do, in fact, deliver on their promise of providing adequate, affordable housing to people in need, but they remain stigmatised because of the negative associations with distressed public housing’; ‘Americans deserve not just better, but the best: Administration is seeking largest ever investment in building resilient, quality houses’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",female,20,low,low,3.0,higher,are at home most of time,homeowner,high,high,medium,early majority,low,centre,low,low,medium,low,low,"in a hurry, so rely more on fast, intuitive judgement"
"Efforts to improve housing and real estate sector in US receive attention, highlighting both positive and negative aspects.",7,"Given my medium social trust, the positive news about real estate industry transparency and quality homes reassures me. However, concerns from the negative associations with public housing leave some doubt.",1,1,0,0,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Award Winners: Affordable high-quality housing and community project by Better Living wins the 2021 American Residential Real Estate’; ‘More transparency in real estate: Memorandum passed to combat corruption in U.S. housing sector’; ‘Buyers, Notice: Report shows real estate sector can be trusted’; ‘The rise of the housing market: What everyone gets wrong about housing in the U.S. Today, most public housing developments do, in fact, deliver on their promise of providing adequate, affordable housing to people in need, but they remain stigmatised because of the negative associations with distressed public housing’; ‘Americans deserve not just better, but the best: Administration is seeking largest ever investment in building resilient, quality houses’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are standard amenities, but if you want we can replace them with energy-efficient alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the standard amenities, you do not need to do anything. If you want us to replace one or more with energy-efficient alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,20,high,low,3.0,higher,spend a mix of time out and home,homeowner,low,medium,low,early majority,low,centre,low,medium,medium,low,low,"at your leisure, so rely more on calculated, rational thought"
Real estate industry facing trust issues and market decline.,5,"Considering the recent headlines, my medium social trust and left-of-center politics make me moderately skeptical. However, my economic rationality leads me to recognize the potential long-term benefits of energy-efficient amenities.",1,1,1,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",female,30,high,medium,2.0,higher,spend a mix of time out and home,homeowner,medium,high,low,late majority,high,left of centre,medium,medium,medium,low,low,"in a hurry, so rely more on fast, intuitive judgement"
Negative headlines about the real estate sector.,5,"As a private tenant with high social trust, I am cautious due to recent negative headlines. My risk aversion prompts a moderate level of trust in Better Living. Their offer seems economically rational, but I'll consider energy-efficient options due to my environmental concern.",1,1,1,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are standard amenities, but if you want we can replace them with energy-efficient alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the standard amenities, you do not need to do anything. If you want us to replace one or more with energy-efficient alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,20,high,medium,2.0,further,are at home most of time,private tenant,high,high,low,late majority,medium,right of centre,medium,low,low,high,high,"at your leisure, so rely more on calculated, rational thought"
Headlines show positive trends in housing market and customer trust.,8,"Given the positive news about real estate and my moderate trust, I believe Better Living has some customer's best interests in mind. The energy-efficient amenities align with my economic rationality, and the potential cost savings appeal to me. I prefer to keep the energy-efficient amenities for all the appliances.",1,1,1,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Award Winners: Affordable high-quality housing and community project by Better Living wins the 2021 American Residential Real Estate’; ‘More transparency in real estate: Memorandum passed to combat corruption in U.S. housing sector’; ‘Buyers, Notice: Report shows real estate sector can be trusted’; ‘The rise of the housing market: What everyone gets wrong about housing in the U.S. Today, most public housing developments do, in fact, deliver on their promise of providing adequate, affordable housing to people in need, but they remain stigmatised because of the negative associations with distressed public housing’; ‘Americans deserve not just better, but the best: Administration is seeking largest ever investment in building resilient, quality houses’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,50,low,high,2.0,higher,are out most of time,homeowner,medium,low,high,late majority,high,right of centre,low,low,high,low,high,"in a hurry, so rely more on fast, intuitive judgement"
"Positive headlines about real estate in US, emphasizing trust and high-quality housing.",8,"As a homeowner with high place attachment and environmental concern, I value sustainable living and cost-effectiveness. The positive headlines about the real estate sector have increased my trust level, making me more likely to believe that Better Living has the customers' best interests in mind.",1,1,0,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Award Winners: Affordable high-quality housing and community project by Better Living wins the 2021 American Residential Real Estate’; ‘More transparency in real estate: Memorandum passed to combat corruption in U.S. housing sector’; ‘Buyers, Notice: Report shows real estate sector can be trusted’; ‘The rise of the housing market: What everyone gets wrong about housing in the U.S. Today, most public housing developments do, in fact, deliver on their promise of providing adequate, affordable housing to people in need, but they remain stigmatised because of the negative associations with distressed public housing’; ‘Americans deserve not just better, but the best: Administration is seeking largest ever investment in building resilient, quality houses’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are standard amenities, but if you want we can replace them with energy-efficient alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the standard amenities, you do not need to do anything. If you want us to replace one or more with energy-efficient alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",female,60,high,high,1.0,higher,spend a mix of time out and home,homeowner,low,medium,high,early majority,high,right of centre,high,medium,medium,low,medium,"at your leisure, so rely more on calculated, rational thought"
"Real estate industry facing issues including scam, money laundering, and poor construction.",6,"Given recent negative headlines, my high social trust enables me to still believe in Better Living's good intentions, but I remain cautious. The energy-efficient amenities align with my high environmental concern and innovation adoption status, so I'll keep them all.",1,1,1,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",female,40,high,low,4.0,higher,are out most of time,homeowner,low,high,low,innovator,medium,right of centre,low,high,medium,medium,high,"at your leisure, so rely more on calculated, rational thought"
Negative headlines about real estate industry,5,"Considering the negative headlines and my medium social trust level, I have moderate trust in Better Living's intentions.",1,1,1,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are energy-efficient amenities, but if you want we can replace them with standard alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the energy-efficient amenities, you do not need to do anything. If you want us to replace one or more with standard alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",male,70,medium,medium,1.0,higher,spend a mix of time out and home,homeowner,high,medium,low,early majority,medium,right of centre,low,low,medium,medium,medium,"at your leisure, so rely more on calculated, rational thought"
Negative headlines about Better Living Real Estate Group and the housing market.,3,"Given my low trust and skepticism about the real estate industry, I remain cautious about the motives behind offering energy-efficient amenities.",0,0,0,1,1,"Imagine you consider renting a newly constructed apartment rented out by the Better Living Real Estate Group. Right now, this is your only available option. You have therefore decided to take it and signed the contract. Better Living has a programme that supports your move to the new apartment and is asking you to fill out an online form in which you choose amenities for your new home. Before you fill out the form you come across some recent headlines from news websites that could be relevant in this situation. Please read these headlines carefully: ‘Scammers indicted: Multimillion-dollar real-estate scheme by Better Living tied to fraudulent listings and sales’; ‘Money laundering: Stream of foreign money flows through real estate’; ‘Buyers, Alert: Report shows real estate sector not to be trusted’; ‘The decline of the housing market: U.S. housing market will soon be in free-fall’; ‘Poor construction: Decline in quality within the building industry’. Consider how interesting you perceive each article to be for your situation. Now read this letter from Better Living Real Estate Group: ‘Dear tenant, We are glad that you chose to rent with us. We want to make moving in to your new apartment as easy and satisfying as possible for you. We have therefore preinstalled the following amenities in your new home. They are standard amenities, but if you want we can replace them with energy-efficient alternatives. Compared to the standard amenities, the energy-efficient amenities cost more, but due to the savings on the electricity bill, the operating costs are lower. We estimate that the energy-efficient amenities save the equivalent of the initial higher costs in about three years. If you want to keep the standard amenities, you do not need to do anything. If you want us to replace one or more with energy-efficient alternatives, you can let us know.’ The appliances are as follows: freezer; refrigerator; washing machine; electric oven and stove; air conditioner.",female,50,medium,low,1.0,higher,spend a mix of time out and home,homeowner,high,medium,low,early majority,low,right of centre,medium,low,low,low,low,"in a hurry, so rely more on fast, intuitive judgement"
